3	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
filterTable v2.0.2	--white inc,1_f,1_p
inc	1_f	1_p
367.0	0.9934	-484251513.246
368.0	0.9936	-458746528.318
369.0	0.9938	-433305902.694
370.0	0.994	-407924401.509
371.0	0.9942	-382597239.958
372.0	0.9944	-357320413.717
373.0	0.9946	-332090533.56
374.0	0.9948	-306905023.733
375.0	0.995	-281762001.9
376.0	0.9952	-256660367.613
377.0	0.9954	-231599738.283
378.0	0.9956	-206580394.37
379.0	0.9958	-181603184.524
380.0	0.996	-156669435.424
381.0	0.9962	-131780912.796
382.0	0.9964	-106939808.017
383.0	0.9966	-82148665.6555
384.0	0.9968	-57410335.7587
385.0	0.997	-32734154.1808
386.0	0.9972	-8113993.54006
387.0	0.9974	16445532.1746
388.0	0.9976	40941412.8951
389.0	0.9978	65370113.5285
390.0	0.998	89724955.405
391.0	0.9982	114006617.031
392.0	0.9984	138212200.98
393.0	0.9986	162340330.408
394.0	0.9988	186388939.093
395.0	0.999	210356467.035
396.0	0.9992	234244618.687
397.0	0.9994	258049684.358
398.0	0.9996	281774305.946
399.0	0.9998	305418397.881
400.0	1.0	328984417.386
401.0	1.0002	352468857.719
402.0	1.0004	375876167.259
403.0	1.0006	399206518.225
404.0	1.0008	422461907.456
405.0	1.001	445642468.031
406.0	1.0012	468751714.879
407.0	1.0014	491789970.103
408.0	1.0016	514760442.819
409.0	1.0018	537664426.595
410.0	1.002	560504847.586
411.0	1.0022	583283588.537
412.0	1.0024	606003511.383
413.0	1.0026	628666788.868
414.0	1.0028	651276180.416
415.0	1.003	673833938.274
416.0	1.0032	696342635.201
417.0	1.0034	718804451.884
418.0	1.0036	741221720.234
419.0	1.0038	763596454.987
420.0	1.004	785930722.16
421.0	1.0042	808226322.537
422.0	1.0044	830485053.941
423.0	1.0046	852708492.73
424.0	1.0048	874898188.283
425.0	1.005	897055507.292
426.0	1.0052	919181784.323
427.0	1.0054	941278203.596
428.0	1.0056	963345921.991
429.0	1.0058	985385972.555
430.0	1.006	1007399368.75
431.0	1.0062	1029387021.8
432.0	1.0064	1051349830.05
433.0	1.0066	1073288606.01
434.0	1.0068	1095204153.71
435.0	1.007	1117097203.03
436.0	1.0072	1138968478.82
437.0	1.0074	1160818638.78
438.0	1.0076	1182648340.28
439.0	1.0078	1204458178.9
440.0	1.008	1226248753.49
441.0	1.0082	1248020606.51
442.0	1.0084	1269774284.94
443.0	1.0086	1291510286.67
444.0	1.0088	1313229111.11
445.0	1.009	1334931218.54
446.0	1.0092	1356617064.27
447.0	1.0094	1378287075.16
448.0	1.0096	1399941666.56
449.0	1.0098	1421581235.27
450.0	1.01	1443206161.64
451.0	1.0102	1464816815.81
452.0	1.0104	1486413546.39
453.0	1.0106	1507996697.1
454.0	1.0108	1529566586.97
455.0	1.011	1551123530.9
456.0	1.0112	1572667820.54
457.0	1.0114	1594199740.83
458.0	1.0116	1615719558.03
459.0	1.0118	1637227528.7
460.0	1.012	1658723894.41
461.0	1.0122	1680208886.52
462.0	1.0124	1701682723.01
463.0	1.0126	1723145613.1
464.0	1.0128	1744597753.28
465.0	1.013	1766039333.64
466.0	1.0132	1787470532.73
467.0	1.0134	1808891523.65
468.0	1.0136	1830302471.94
469.0	1.0138	1851703534.53
470.0	1.014	1873094868.24
471.0	1.0142	1894476612.97
472.0	1.0144	1915848917.62
473.0	1.0146	1937211905.32
474.0	1.0148	1958565714.88
475.0	1.015	1979910454.4
476.0	1.0152	2001246250.69
477.0	1.0154	2022573199.27
478.0	1.0156	2043891413.54
479.0	1.0158	2065200978.78
480.0	1.016	2086501994.58
481.0	1.0162	2107794538.25
482.0	1.0164	2129078695.95
483.0	1.0166	2150354539.01
484.0	1.0168	2171622142.3
485.0	1.017	2192881572.49
486.0	1.0172	2214132896.36
487.0	1.0174	2235376176.57
488.0	1.0176	2256611474.28
489.0	1.0178	2277838847.92
490.0	1.018	2299058353.86
491.0	1.0182	2320270045.33
492.0	1.0184	2341473972.87
493.0	1.0186	2362670183.62
494.0	1.0188	2383858721.03
495.0	1.019	2405039625.64
496.0	1.0192	2426212933.32
497.0	1.0194	2447378678.72
498.0	1.0196	2468536890.85
499.0	1.0198	2489687600.25
500.0	1.02	2510830830.86
501.0	1.02	2510830830.86
