3	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
filterTable v2.0.2	--white inc,1_f,1_p
inc	1_f	1_p
300.0	1.05	4625503374.86
301.0	1.0495	4574215385.75
302.0	1.049	4522918401.44
303.0	1.0485	4471600832.8
304.0	1.048	4420264851.44
305.0	1.0475	4368919018.57
306.0	1.047	4317668752.23
307.0	1.0465	4266406525.72
308.0	1.046	4215124086.66
309.0	1.0455	4163824939.36
310.0	1.045	4112518387.77
311.0	1.0445	4061307394.57
312.0	1.044	4010080095.31
313.0	1.0435	3958826202.77
314.0	1.043	3907548706.39
315.0	1.0425	3856323219.86
316.0	1.042	3805080324.64
317.0	1.0415	3753815244.9
318.0	1.041	3702597218.66
319.0	1.0405	3651358356.53
320.0	1.04	3600093741.13
321.0	1.0395	3548851680.77
322.0	1.039	3497588455.35
323.0	1.0385	3446347584.65
324.0	1.038	3395085747.48
325.0	1.0375	3343828156.19
326.0	1.037	3292546894.66
327.0	1.0365	3241245308.97
328.0	1.036	3189990914.63
329.0	1.0355	3138715487.63
330.0	1.035	3087432136.35
331.0	1.0345	3036124929.25
332.0	1.034	2984834708.32
333.0	1.0335	2933521814.78
334.0	1.033	2882186414.24
335.0	1.0325	2830877421.05
336.0	1.032	2779544644.31
337.0	1.0315	2728213443.46
338.0	1.031	2676859168.79
339.0	1.0305	2625512893.68
340.0	1.03	2574141638.66
341.0	1.0295	2522745712.53
342.0	1.029	2471381132.7
343.0	1.0285	2419990379.39
344.0	1.028	2368570448.96
345.0	1.0275	2317128306.54
346.0	1.027	2265720692.23
347.0	1.0265	2214283947.24
348.0	1.026	2162816628.25
349.0	1.0255	2111326791.39
350.0	1.025	2059864333.59
351.0	1.0245	2008373067.85
352.0	1.024	1956851240.08
353.0	1.0235	1905345297.18
354.0	1.023	1853809569.6
355.0	1.0225	1802243940.42
356.0	1.022	1750686027.91
357.0	1.0215	1699098814.6
358.0	1.021	1647484181.8
359.0	1.0205	1595879772.62
360.0	1.02	1544245723.29
361.0	1.0195	1492582319.63
362.0	1.019	1440926158.73
363.0	1.0185	1389240268.44
364.0	1.018	1337526417.17
365.0	1.0175	1285821252.63
366.0	1.017	1234085462.42
367.0	1.0165	1182338870.05
368.0	1.016	1130562765.29
369.0	1.0155	1078786400.46
370.0	1.015	1026979327.1
371.0	1.0145	975165350.45
372.0	1.014	923321839.055
373.0	1.0135	871472228.664
374.0	1.013	819593342.74
375.0	1.0125	767706562.205
376.0	1.012	715802487.056
377.0	1.0115	663880776.107
378.0	1.011	611945271.863
379.0	1.0105	559988195.914
380.0	1.01	508015830.725
381.0	1.0095	456022797.307
382.0	1.009	404029126.8
383.0	1.0085	352002497.266
384.0	1.008	299955971.629
385.0	1.0075	247894777.985
386.0	1.007	195803617.274
387.0	1.0065	143696558.1
388.0	1.006	91556535.2462
389.0	1.0055	39401240.8568
390.0	1.005	-12784009.9599
391.0	1.0045	-64994385.3671
392.0	1.004	-117232271.1
393.0	1.0035	-169496476.959
394.0	1.003	-221781904.694
395.0	1.0025	-274092335.779
396.0	1.002	-326425217.91
397.0	1.0015	-378779801.815
398.0	1.001	-431155656.605
399.0	1.0005	-483552797.949
400.0	1.0	-535972874.484
401.0	0.9995	-588412456.938
402.0	0.999	-640871660.441
403.0	0.9985	-693357862.854
404.0	0.998	-745862213.574
405.0	0.9975	-798389618.751
406.0	0.997	-850939119.976
407.0	0.9965	-903507353.463
408.0	0.996	-956105581.679
