5	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
filterTable v2.0.2	v2.0.2 --white inc,1_f,1_p single_phase_equiaxed_tension.txt
filterTable v2.0.2	--white inc,1_f,1_p single_phase_equiaxed_tension.txt
filterTable v2.0.2	--white inc,1_f,1_p single_phase_equiaxed_tension.txt
inc	1_f	1_p
284.0	1.0568	7953063044.41
285.0	1.057	7979303470.54
286.0	1.0572	8005539080.52
287.0	1.0574	8031769844.08
288.0	1.0576	8057995794.58
289.0	1.0578	8084216902.69
290.0	1.058	8110433201.82
291.0	1.0582	8136644663.66
292.0	1.0584	8162851321.59
293.0	1.0586	8189053148.16
294.0	1.0588	8215250176.47
295.0	1.059	8241442379.85
296.0	1.0592	8267629790.8
297.0	1.0594	8293812382.96
298.0	1.0596	8319990188.3
299.0	1.0598	8346163180.38
300.0	1.06	8372331392.09
301.0	1.0602	8398494797.06
302.0	1.0604	8424653429.23
303.0	1.0606	8450807261.31
304.0	1.0608	8476956327.16
305.0	1.061	8503100598.1
306.0	1.0612	8529240107.69
307.0	1.0614	8555374826.37
308.0	1.0616	8581504787.84
309.0	1.0618	8607629962.11
310.0	1.062	8633750383.46
311.0	1.0622	8659866021.68
312.0	1.0624	8685976911.51
313.0	1.0626	8712083022.37
314.0	1.0628	8738184388.93
315.0	1.063	8764280980.27
316.0	1.0632	8790372830.95
317.0	1.0634	8816459910.17
318.0	1.0636	8842542252.49
319.0	1.0638	8868619827.44
320.0	1.064	8894692669.8
321.0	1.0642	8920760749.54
322.0	1.0644	8946824101.76
323.0	1.0646	8972882696.76
324.0	1.0648	8998936569.53
325.0	1.065	9024985690.75
326.0	1.0652	9051030094.79
327.0	1.0654	9077069752.83
328.0	1.0656	9103104698.13
329.0	1.0658	9129134902.66
330.0	1.066	9155160398.3
331.0	1.0662	9181181158.05
332.0	1.0664	9207197212.39
333.0	1.0666	9233208535.26
334.0	1.0668	9259215156.25
335.0	1.067	9285217050.53
336.0	1.0672	9311214247.43
337.0	1.0674	9337206723.49
338.0	1.0676	9363194507.81
339.0	1.0678	9389177577.99
340.0	1.068	9415155962.32
341.0	1.0682	9441129639.1
342.0	1.0684	9467098635.17
343.0	1.0686	9493062929.73
344.0	1.0688	9519022548.1
345.0	1.069	9544977470.32
346.0	1.0692	9570927719.6
347.0	1.0694	9596873276.11
348.0	1.0696	9622814160.98
349.0	1.0698	9648750354.7
350.0	1.07	9674681877.68
351.0	1.0702	9700608711.61
352.0	1.0704	9726530877.46
353.0	1.0706	9752448358.02
354.0	1.0708	9778361174.8
355.0	1.071	9804269310.62
356.0	1.0712	9830172787.28
357.0	1.0714	9856071587.18
358.0	1.0716	9881965732.78
359.0	1.0718	9907855205.92
360.0	1.072	9933740030.35
361.0	1.0722	9959620187.07
362.0	1.0724	9985495702.0
363.0	1.0726	10011366554.7
364.0	1.0728	10037232773.6
365.0	1.073	10063094335.6
366.0	1.0732	10088951271.7
367.0	1.0734	10114803555.6
368.0	1.0736	10140651220.7
369.0	1.0738	10166494238.3
370.0	1.074	10192332643.4
371.0	1.0742	10218166405.6
372.0	1.0744	10243995560.3
373.0	1.0746	10269820076.0
374.0	1.0748	10295639986.8
375.0	1.075	10321455261.6
376.0	1.0752	10347265933.4
377.0	1.0754	10373071972.6
378.0	1.0756	10398873411.8
379.0	1.0758	10424670222.4
380.0	1.076	10450462435.7
381.0	1.0762	10476250023.1
382.0	1.0764	10502033014.9
383.0	1.0766	10527811383.4
384.0	1.0768	10553585158.7
385.0	1.077	10579354314.2
386.0	1.0772	10605118879.8
387.0	1.0774	10630878830.2
388.0	1.0776	10656634195.1
389.0	1.0778	10682384950.4
390.0	1.078	10708131125.8
391.0	1.0782	10733872697.8
392.0	1.0784	10759609695.9
393.0	1.0786	10785342096.8
394.0	1.0788	10811069929.4
395.0	1.079	10836793170.4
396.0	1.0792	10862511848.3
397.0	1.0794	10888225939.5
398.0	1.0796	10913935472.2
399.0	1.0798	10939640422.3
400.0	1.08	10965340818.2
401.0	1.0802	10991036635.3
402.0	1.0804	11016727901.8
403.0	1.0806	11042414592.7
404.0	1.0808	11068096736.5
405.0	1.081	11093774307.5
406.0	1.0812	11119447335.9
407.0	1.0814	11145115794.0
408.0	1.0816	11170779714.0
409.0	1.0818	11196439066.0
410.0	1.082	11222093884.1
411.0	1.0822	11247744135.9
412.0	1.0824	11273389858.4
413.0	1.0826	11299031016.5
414.0	1.0828	11324667650.3
415.0	1.083	11350299722.6
416.0	1.0832	11375927276.7
417.0	1.0834	11401550273.1
418.0	1.0836	11427168757.9
419.0	1.0838	11452782689.3
420.0	1.084	11478392115.4
421.0	1.0842	11503996991.4
422.0	1.0844	11529597367.2
423.0	1.0846	11555193195.8
424.0	1.0848	11580784528.8
425.0	1.085	11606371317.8
426.0	1.0852	11631953616.5
427.0	1.0854	11657531375.1
428.0	1.0856	11683104649.1
429.0	1.0858	11708673386.7
430.0	1.086	11734237644.5
431.0	1.0862	11759797368.6
432.0	1.0864	11785352616.6
433.0	1.0866	11810903332.6
434.0	1.0868	11836449575.7
435.0	1.087	11861991288.3
436.0	1.0872	11887528531.6
437.0	1.0874	11913061246.9
438.0	1.0876	11938589497.5
439.0	1.0878	11964113223.4
440.0	1.088	11989632490.3
441.0	1.0882	12015147237.0
442.0	1.0884	12040657531.1
443.0	1.0886	12066163309.8
444.0	1.0888	12091664641.6
445.0	1.089	12117161461.9
446.0	1.0892	12142653840.0
447.0	1.0894	12168141709.7
448.0	1.0896	12193625141.7
449.0	1.0898	12219104068.5
450.0	1.09	12244578562.7
451.0	1.0902	12270048555.6
452.0	1.0904	12295514121.1
453.0	1.0906	12320975188.5
454.0	1.0908	12346431832.7
455.0	1.091	12371883980.6
456.0	1.0912	12397331709.2
457.0	1.0914	12422774943.7
458.0	1.0916	12448213764.4
459.0	1.0918	12473648094.6
460.0	1.092	12499078017.6
461.0	1.0922	12524503454.6
462.0	1.0924	12549924490.9
463.0	1.0926	12575341045.3
464.0	1.0928	12600753204.6
465.0	1.093	12626160885.2
466.0	1.0932	12651564175.0
467.0	1.0934	12676962988.1
468.0	1.0936	12702357412.9
469.0	1.0938	12727747362.4
470.0	1.094	12753132925.9
471.0	1.0942	12778514016.0
472.0	1.0944	12803890723.2
473.0	1.0946	12829262959.6
474.0	1.0948	12854630816.4
475.0	1.095	12879994204.9
476.0	1.0952	12905353217.0
477.0	1.0954	12930707763.8
478.0	1.0956	12956057938.6
479.0	1.0958	12981403652.6
480.0	1.096	13006744999.9
481.0	1.0962	13032081890.8
482.0	1.0964	13057414420.0
483.0	1.0966	13082742496.0
484.0	1.0968	13108066214.2
485.0	1.097	13133385481.4
486.0	1.0972	13158700394.0
487.0	1.0974	13184010857.3
488.0	1.0976	13209316968.9
489.0	1.0978	13234618632.9
490.0	1.098	13259915948.0
491.0	1.0982	13285208817.4
492.0	1.0984	13310497340.7
493.0	1.0986	13335781420.3
494.0	1.0988	13361061156.0
495.0	1.099	13386336449.0
496.0	1.0992	13411607399.0
497.0	1.0994	13436873906.6
498.0	1.0996	13462136073.1
499.0	1.0998	13487393799.4
500.0	1.1	13512647188.6
501.0	1.1002	13537896140.6
502.0	1.1004	13563140759.6
503.0	1.1006	13588380944.2
504.0	1.1008	13613616800.2
505.0	1.101	13638848225.7
506.0	1.1012	13664075326.4
507.0	1.1014	13689298000.2
508.0	1.1016	13714516352.0
509.0	1.1018	13739730280.2
510.0	1.102	13764939887.8
511.0	1.1022	13790145074.6
512.0	1.1024	13815345942.0
513.0	1.1026	13840542392.7
514.0	1.1028	13865734527.2
515.0	1.103	13890922251.2
516.0	1.1032	13916105664.2
517.0	1.1034	13941284673.8
518.0	1.1036	13966459378.1
519.0	1.1038	13991629686.3
520.0	1.104	14016795693.8
521.0	1.1042	14041957311.1
522.0	1.1044	14067114631.0
523.0	1.1046	14092267564.8
524.0	1.1048	14117416202.5
525.0	1.105	14142560456.5
526.0	1.1052	14167700413.4
527.0	1.1054	14192835987.1
528.0	1.1056	14217967262.2
529.0	1.1058	14243094154.8
530.0	1.106	14268216749.0
531.0	1.1062	14293334963.0
532.0	1.1064	14318448881.0
533.0	1.1066	14343558422.6
534.0	1.1068	14368663671.7
535.0	1.107	14393764548.6
536.0	1.1072	14418861136.1
537.0	1.1074	14443953354.6
538.0	1.1076	14469041285.6
539.0	1.1078	14494124850.5
540.0	1.108	14519204130.4
541.0	1.1082	14544279048.7
542.0	1.1084	14569349686.8
543.0	1.1086	14594415969.1
544.0	1.1088	14619477975.8
545.0	1.109	14644535631.6
546.0	1.1092	14669589015.8
547.0	1.1094	14694638053.2
548.0	1.1096	14719682822.2
549.0	1.1098	14744723248.0
550.0	1.11	14769759409.0
551.0	1.1102	14794791230.6
552.0	1.1104	14819818791.6
553.0	1.1106	14844842017.4
554.0	1.1108	14869860986.5
555.0	1.111	14894875623.2
556.0	1.1112	14919886005.7
557.0	1.1114	14944892057.4
558.0	1.1116	14969893857.3
559.0	1.1118	14994891327.6
560.0	1.112	15019884548.9
561.0	1.1122	15044873442.2
562.0	1.1124	15069858089.6
563.0	1.1126	15094838410.4
564.0	1.1128	15119814488.9
565.0	1.113	15144786242.1
566.0	1.1132	15169753756.7
567.0	1.1134	15194716947.0
568.0	1.1136	15219675902.8
569.0	1.1138	15244630534.9
570.0	1.114	15269580936.1
571.0	1.1142	15294527014.6
572.0	1.1144	15319468866.3
573.0	1.1146	15344406397.7
574.0	1.1148	15369339707.4
575.0	1.115	15394268699.8
576.0	1.1152	15419193475.9
577.0	1.1154	15444113938.1
578.0	1.1156	15469030188.9
579.0	1.1158	15493942129.4
580.0	1.116	15518849864.4
581.0	1.1162	15543753293.5
582.0	1.1164	15568652523.3
583.0	1.1166	15593547451.9
584.0	1.1168	15618438186.4
585.0	1.117	15643324623.3
586.0	1.1172	15668206869.6
587.0	1.1174	15693084820.2
588.0	1.1176	15717958582.0
589.0	1.1178	15742828049.0
590.0	1.118	15767693328.2
591.0	1.1182	15792554314.2
592.0	1.1184	15817411114.2
593.0	1.1186	15842263623.3
594.0	1.1188	15867111949.3
595.0	1.119	15891955988.6
596.0	1.1192	15916795848.8
597.0	1.1194	15941631427.9
598.0	1.1196	15966462832.6
599.0	1.1198	15991289962.4
600.0	1.12	16016112922.7
601.0	1.1202	16040931613.8
602.0	1.1204	16065746138.7
603.0	1.1206	16090556397.7
604.0	1.1208	16115362491.1
605.0	1.121	16140164319.8
606.0	1.1212	16164961982.4
607.0	1.1214	16189755381.8
608.0	1.1216	16214544615.7
609.0	1.1218	16239329589.1
610.0	1.122	16264110399.7
611.0	1.1222	16288886954.5
612.0	1.1224	16313659350.1
613.0	1.1226	16338427495.0
614.0	1.1228	16363191483.3
615.0	1.123	16387951225.3
616.0	1.1232	16412706812.8
617.0	1.1234	16437458159.2
618.0	1.1236	16462205353.6
619.0	1.1238	16486948312.7
620.0	1.124	16511687121.9
621.0	1.1242	16536421700.1
622.0	1.1244	16561152128.9
623.0	1.1246	16585878328.4
624.0	1.1248	16610600377.7
625.0	1.125	16635318197.9
626.0	1.1252	16660031867.3
627.0	1.1254	16684741307.6
628.0	1.1256	16709446598.0
629.0	1.1258	16734147660.9
630.0	1.126	16758844576.8
631.0	1.1262	16783537268.3
632.0	1.1264	16808225817.3
633.0	1.1266	16832910146.0
634.0	1.1268	16857590337.3
635.0	1.127	16882266312.9
636.0	1.1272	16906938156.1
637.0	1.1274	16931605788.3
638.0	1.1276	16956269292.6
639.0	1.1278	16980928590.0
640.0	1.128	17005583763.0
641.0	1.1282	17030234732.6
642.0	1.1284	17054881580.0
643.0	1.1286	17079524226.5
644.0	1.1288	17104162752.4
645.0	1.129	17128797080.0
646.0	1.1292	17153427289.4
647.0	1.1294	17178053304.5
648.0	1.1296	17202675205.7
649.0	1.1298	17227292917.6
650.0	1.13	17251906519.4
651.0	1.1302	17276515936.0
652.0	1.1304	17301121245.2
653.0	1.1306	17325722371.4
654.0	1.1308	17350319391.6
655.0	1.131	17374912229.9
656.0	1.1312	17399500962.1
657.0	1.1314	17424085512.7
658.0	1.1316	17448665958.1
659.0	1.1318	17473242224.9
660.0	1.132	17497814390.1
661.0	1.1322	17522382380.9
662.0	1.1324	17546946273.9
663.0	1.1326	17571505997.0
664.0	1.1328	17596061626.5
665.0	1.133	17620613091.3
666.0	1.1332	17645160467.4
667.0	1.1334	17669703683.7
668.0	1.1336	17694242815.0
669.0	1.1338	17718777789.9
670.0	1.134	17743308682.3
671.0	1.1342	17767835420.6
672.0	1.1344	17792358077.6
673.0	1.1346	17816876581.5
674.0	1.1348	17841391004.7
675.0	1.135	17865901275.6
676.0	1.1352	17890407467.3
677.0	1.1354	17914909509.7
678.0	1.1356	17939407476.5
679.0	1.1358	17963901298.8
680.0	1.136	17988391049.9
681.0	1.1362	18012876660.9
682.0	1.1364	18037358203.9
683.0	1.1366	18061835609.7
684.0	1.1368	18086308950.1
685.0	1.137	18110778155.4
686.0	1.1372	18135243297.9
687.0	1.1374	18159704307.8
688.0	1.1376	18184161257.2
689.0	1.1378	18208614076.5
690.0	1.138	18233062838.1
691.0	1.1382	18257507472.4
692.0	1.1384	18281948052.3
693.0	1.1386	18306384508.5
694.0	1.1388	18330816914.0
695.0	1.139	18355245200.0
696.0	1.1392	18379669439.4
697.0	1.1394	18404089563.3
698.0	1.1396	18428505643.4
699.0	1.1398	18452917610.2
700.0	1.14	18477325534.1
701.0	1.1402	18501729345.6
702.0	1.1404	18526129115.3
703.0	1.1406	18550524774.9
704.0	1.1408	18574916395.4
705.0	1.141	18599303909.9
706.0	1.1412	18623687389.5
707.0	1.1414	18648066767.4
708.0	1.1416	18672442114.1
709.0	1.1418	18696813363.1
710.0	1.142	18721180584.2
711.0	1.1422	18745543711.8
712.0	1.1424	18769902814.4
713.0	1.1426	18794257827.1
714.0	1.1428	18818608816.6
715.0	1.143	18842955717.9
716.0	1.1432	18867298595.6
717.0	1.1434	18891637385.9
718.0	1.1436	18915972152.2
719.0	1.1438	18940302832.9
720.0	1.144	18964629491.1
721.0	1.1442	18988952067.3
722.0	1.1444	19013270623.0
723.0	1.1446	19037585100.1
724.0	1.1448	19061895557.6
725.0	1.145	19086201938.8
726.0	1.1452	19110504300.8
727.0	1.1454	19134802588.9
728.0	1.1456	19159096858.0
729.0	1.1458	19183387055.4
730.0	1.146	19207673234.3
731.0	1.1462	19231955344.1
732.0	1.1464	19256233436.8
733.0	1.1466	19280507464.3
734.0	1.1468	19304777477.3
735.0	1.147	19329043428.8
736.0	1.1472	19353305368.3
737.0	1.1474	19377563249.0
738.0	1.1476	19401817118.8
739.0	1.1478	19426066931.0
740.0	1.148	19450312733.1
741.0	1.1482	19474554478.5
742.0	1.1484	19498792215.3
743.0	1.1486	19523025897.2
744.0	1.1488	19547255574.2
745.0	1.149	19571481199.2
746.0	1.1492	19595702823.9
747.0	1.1494	19619920399.7
748.0	1.1496	19644133979.9
749.0	1.1498	19668343514.7
750.0	1.15	19692549059.5
751.0	1.1502	19716750563.2
752.0	1.1504	19740948081.9
753.0	1.1506	19765141562.7
754.0	1.1508	19789331061.4
755.0	1.151	19813516523.2
756.0	1.1512	19837698003.7
757.0	1.1514	19861875447.4
758.0	1.1516	19886048909.8
759.0	1.1518	19910218335.6
760.0	1.152	19934383780.3
761.0	1.1522	19958545189.2
762.0	1.1524	19982702618.3
763.0	1.1526	20006856014.2
764.0	1.1528	20031005432.6
765.0	1.153	20055150820.8
766.0	1.1532	20079292234.6
767.0	1.1534	20103429621.6
768.0	1.1536	20127563037.1
769.0	1.1538	20151692429.3
770.0	1.154	20175817852.9
771.0	1.1542	20199939257.6
772.0	1.1544	20224056697.3
773.0	1.1546	20248170122.4
774.0	1.1548	20272279585.3
775.0	1.155	20296385037.2
776.0	1.1552	20320486527.9
777.0	1.1554	20344584009.8
778.0	1.1556	20368677530.6
779.0	1.1558	20392767044.0
780.0	1.156	20416852595.9
781.0	1.1562	20440934140.9
782.0	1.1564	20465011723.2
783.0	1.1566	20489085298.8
784.0	1.1568	20513154911.7
785.0	1.157	20537220521.4
786.0	1.1572	20561282172.6
787.0	1.1574	20585339827.3
788.0	1.1576	20609393528.9
789.0	1.1578	20633443239.2
790.0	1.158	20657488999.5
791.0	1.1582	20681530771.1
792.0	1.1584	20705568593.6
793.0	1.1586	20729602428.7
794.0	1.1588	20753632315.8
