2	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p
39	nan	nan	1	1	16.0	16.0	16.0	1.039	3.85399991001e-20	1.77797509585e-19	1.82270902337e-19	1.0	-1.06638801081e-18	1.09796645788e-19	2.25641636215e-19	1.0	2960171644.0	1405031.59885	-3125823.0465	1352331.86688	2988030761.01	1375018.10554	-3008579.07332	1374968.20194	2983249941.91
40	nan	nan	1	1	16.0	16.0	16.0	1.04	-3.94399716065e-20	-9.43425296652e-18	1.75918155233e-19	1.0	-3.57564370772e-18	7.90917014499e-20	8.72596136905e-19	1.0	3033338908.79	1410597.37296	-3145097.7358	1356384.47207	3066723369.34	1370180.93318	-3024221.9784	1370131.90004	3061909802.73
41	nan	nan	1	1	16.0	16.0	16.0	1.041	4.92867296184e-20	2.16176043029e-18	1.34334131479e-19	1.0	-5.57554143574e-18	1.13714173169e-19	5.70992850678e-19	1.0	3106436039.77	1416156.95564	-3164527.62667	1360422.25668	3145489235.94	1365141.75399	-3039982.24239	1365090.77529	3140642821.79
42	nan	nan	1	1	16.0	16.0	16.0	1.042	3.45377684243e-19	-4.42196197092e-18	1.07308486505e-19	1.0	-9.33822060612e-18	-3.1033169605e-19	-4.00659818941e-19	1.0	3179463160.47	1421733.08748	-3184096.46148	1364469.13971	3224328281.35	1359906.08276	-3055847.39616	1359855.94901	3219448970.03
43	nan	nan	1	1	16.0	16.0	16.0	1.043	-3.90323370007e-19	-1.97543965167e-19	5.51100811307e-20	1.0	7.24565217971e-18	-3.29231118686e-19	-7.51496895227e-19	1.0	3252420427.69	1427312.85901	-3203796.08471	1368510.94471	3303240458.93	1354481.18905	-3071805.51703	1354429.27908	3298328153.0
44	nan	nan	1	1	16.0	16.0	16.0	1.044	-1.1763170055e-19	-3.36989411087e-18	-1.76818127739e-20	1.0	-8.84400335118e-18	-2.76662136397e-19	-2.79388523696e-20	1.0	3325307964.26	1432918.36854	-3223617.8898	1372570.41168	3382225688.58	1348867.54958	-3087852.20022	1348816.44147	3377280342.26
45	nan	nan	1	1	16.0	16.0	16.0	1.045	-7.53329927464e-20	-1.34415923098e-17	6.71803006291e-20	1.0	-1.1428089115e-17	-1.31872441976e-19	-1.43011586977e-18	1.0	3398125924.31	1438535.86473	-3243549.80064	1376632.97594	3461283925.94	1343076.81379	-3103971.22412	1343024.07665	3456305442.94
46	nan	nan	1	1	16.0	16.0	16.0	1.046	3.52048068703e-20	-4.29165124594e-18	9.07384044746e-20	1.0	4.98214191663e-18	1.29701920048e-19	8.15057453495e-19	1.0	3470874429.56	1444186.61961	-3263589.63283	1380720.17993	3540415090.73	1337105.19033	-3120164.97923	1337053.21007	3535403427.21
47	nan	nan	1	1	16.0	16.0	16.0	1.047	1.1297301934e-19	-1.16231449209e-18	2.00640929381e-20	1.0	-1.08981376576e-18	3.03131915999e-19	-3.43849054471e-19	1.0	3543553632.19	1449856.0725	-3283721.28429	1384816.95749	3619619139.7	1330967.81853	-3136412.90526	1330914.34499	3614574200.19
48	nan	nan	1	1	16.0	16.0	16.0	1.048	-6.34745314849e-20	9.55267876046e-19	-9.50265087701e-20	1.0	-1.83859089113e-19	3.30766365903e-19	-3.3828378331e-19	1.0	3616163652.69	1455564.64208	-3303947.76349	1388943.77513	3698895992.55	1324657.56444	-3152722.93453	1324604.8098	3693817734.62
