2	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p
28	nan	nan	1	1	32.0	32.0	32.0	1.0028	1.16787562735e-21	-1.44878616337e-19	-3.45585720167e-21	1.0	-7.0079361881e-20	1.44508453013e-21	5.84041211251e-21	1.0	459282010.862	-1674657.65208	-2343236.13478	-1669981.70405	210419428.921	-1903557.54134	-2336693.39279	-1903557.54103	215203236.628
29	nan	nan	1	1	32.0	32.0	32.0	1.0029	-1.19421615998e-21	-4.55659264665e-19	3.16706777031e-22	1.0	5.5964620742e-19	5.1926262953e-22	4.67357046092e-22	1.0	475756368.828	-1734735.01171	-2427319.28284	-1729718.82805	217945543.383	-1971676.1107	-2420300.41125	-1971676.10942	222900435.058
30	nan	nan	1	1	32.0	32.0	32.0	1.003	4.77443479687e-21	-6.25400448674e-19	-2.85697843818e-21	1.0	5.51446779599e-19	3.78021539937e-22	1.66722388363e-20	1.0	492235183.009	-1794778.14645	-2511441.78068	-1789409.91788	225472625.697	-2039847.45834	-2503929.99045	-2039847.45533	230598675.881
31	nan	nan	1	1	32.0	32.0	32.0	1.0031	-6.51241881202e-21	-2.12993837854e-19	1.19351822634e-21	1.0	1.66760852262e-19	-1.26145043414e-23	-1.52410095814e-20	1.0	508718007.027	-1854738.16032	-2595614.74873	-1849006.24309	233000863.943	-2108113.39467	-2587593.20935	-2108113.38792	238298201.905
32	nan	nan	1	1	32.0	32.0	32.0	1.0032	-1.73524397938e-21	-1.15734148225e-19	2.34381626567e-21	1.0	5.88500335138e-19	-3.76160383558e-22	7.51669362385e-21	1.0	525204046.712	-1914526.85585	-2679858.58163	-1908419.91521	240530590.108	-2176544.62486	-2671310.3884	-2176544.61188	245999445.901
33	nan	nan	1	1	32.0	32.0	32.0	1.0033	-3.74723157244e-21	4.39018665487e-19	4.56107389762e-21	1.0	-8.34381633376e-19	-7.39292672469e-22	4.64554971767e-21	1.0	541691919.391	-1973994.40413	-2764207.96355	-1967501.65446	248062382.064	-2245264.17354	-2755116.08047	-2245264.14869	253703160.299
34	nan	nan	1	1	32.0	32.0	32.0	1.0034	8.4850636272e-22	-6.24162572887e-19	4.62259545568e-21	1.0	-3.87131486818e-19	-2.86349248551e-21	1.6353153915e-20	1.0	558179305.784	-2032889.07409	-2848723.80817	-2026000.68074	255597202.186	-2314464.18231	-2839070.9685	-2314464.13841	261410609.381
35	nan	nan	1	1	32.0	32.0	32.0	1.0035	-1.87914755657e-21	6.50235098999e-19	-1.25405750742e-20	1.0	-2.99121330799e-19	-3.23096747263e-21	-7.72896884854e-21	1.0	574662435.492	-2090815.5159	-2933505.8529	-2083523.20173	263136614.407	-2384440.77712	-2923274.3942	-2384440.70022	269123845.627
36	nan	nan	1	1	32.0	32.0	32.0	1.0036	6.64606017974e-21	-6.59389920429e-19	4.42438230139e-22	1.0	2.20325139623e-19	2.08428834848e-21	1.87403971628e-20	1.0	591135474.354	-2147176.05903	-3018720.78634	-2139473.97976	270683031.223	-2455585.40605	-3007892.37854	-2455585.28127	276846040.259
37	nan	nan	1	1	32.0	32.0	32.0	1.0037	-9.00595476857e-21	-1.09067941027e-18	5.97937845542e-21	1.0	-3.25849604342e-19	9.59529510562e-23	1.02560056199e-20	1.0	607589832.047	-2201149.87702	-3104624.4774	-2193035.69389	278240026.087	-2528375.73241	-3093179.71504	-2528375.53655	284581832.664
38	nan	nan	1	1	32.0	32.0	32.0	1.0038	3.49077973316e-21	2.82337629375e-19	3.81733512936e-21	1.0	6.31536681253e-19	-6.54506659683e-22	-1.14361855589e-20	1.0	624013739.61	-2251681.28177	-3191601.09903	-2243157.35448	285812516.556	-2603229.88627	-3179518.93488	-2603229.6065	292337528.205
39	nan	nan	1	1	32.0	32.0	32.0	1.0039	-2.49431143837e-21	-7.13722865374e-19	3.36889983978e-21	1.0	-1.17270636213e-19	-3.58996385848e-22	-4.02361329461e-21	1.0	640392214.866	-2297584.40045	-3280138.73657	-2288658.7448	293406841.926	-2680405.44627	-3267395.88869	-2680405.06102	300121057.859
40	nan	nan	1	1	32.0	32.0	32.0	1.004	3.54958710483e-21	7.7832711878e-19	1.21285357316e-21	1.0	-6.58106549708e-19	3.11847090932e-22	7.07301462279e-21	1.0	656708007.436	-2337597.39739	-3370781.71505	-2328284.39441	301030309.23	-2759725.52508	-3357352.30378	-2759725.0405	307941484.062
41	nan	nan	1	1	32.0	32.0	32.0	1.0041	-1.59635518465e-21	-1.50117357952e-19	-8.24916205626e-21	1.0	-1.84008602009e-19	8.66264896496e-22	8.35452418679e-22	1.0	672943045.314	-2370583.64497	-3463887.54681	-2360904.13709	308690578.749	-2840730.44062	-3449743.52203	-2840729.82118	315808278.638
42	nan	nan	1	1	32.0	32.0	32.0	1.0042	6.72552121733e-21	-1.50533967467e-18	-1.64350447957e-21	1.0	-4.97022637991e-19	2.38331413992e-21	7.81044613888e-21	1.0	689080988.085	-2395427.20951	-3559461.12168	-2385408.68212	316394253.274	-2922478.88183	-3544573.74158	-2922478.13196	323730203.234
43	nan	nan	1	1	32.0	32.0	32.0	1.0043	-2.96417587569e-21	7.54805204087e-19	-1.1470823747e-20	1.0	-1.19233204934e-18	2.83495475437e-21	-6.88110872068e-21	1.0	705108618.874	-2411312.60207	-3656778.69415	-2400988.65784	324146355.117	-3004363.49611	-3641121.33255	-3004362.52219	331714675.432
44	nan	nan	1	1	32.0	32.0	32.0	1.0044	-1.66488192852e-21	-3.23765109198e-19	1.09691387055e-20	1.0	3.46910656713e-19	3.37820562167e-21	1.67801859063e-20	1.0	721017353.975	-2417225.47493	-3754574.81091	-2406636.48951	331949285.327	-3085429.52483	-3738126.19413	-3085428.41481	339767165.592
45	nan	nan	1	1	32.0	32.0	32.0	1.0045	2.58654207667e-21	1.35414842949e-18	-1.34144913913e-20	1.0	8.95745406732e-19	4.08358388902e-21	2.55251393422e-20	1.0	736801843.86	-2412552.4439	-3850832.85506	-2401744.86239	339804100.915	-3165777.80903	-3833580.4389	-3165776.63326	347891618.425
46	nan	nan	1	1	32.0	32.0	32.0	1.0046	1.86220586365e-20	1.05591879939e-18	1.35377413026e-20	1.0	-4.56327006214e-19	3.50952054391e-21	7.1497356246e-21	1.0	752461690.765	-2396370.07986	-3943520.52794	-2385397.23501	347709341.312	-3244983.9309	-3925462.04347	-3244982.94677	356089521.01
47	nan	nan	1	1	32.0	32.0	32.0	1.0047	-2.15007505657e-21	1.04496072423e-19	4.01761623517e-21	1.0	-1.58600301928e-19	2.57087734381e-21	2.100521768e-20	1.0	767999009.68	-2368350.69233	-4030421.6587	-2357271.43336	355663075.865	-3323990.58825	-4011565.87008	-3323989.92264	364360715.638
48	nan	nan	1	1	32.0	32.0	32.0	1.0048	-1.04214417424e-21	5.83949394203e-19	-4.67419084638e-21	1.0	-4.77035059259e-19	2.11923672936e-21	1.38668557888e-20	1.0	783419624.58	-2327794.1674	-4109932.81709	-2316673.69984	363661719.388	-3402993.22992	-4090298.22776	-3402992.99636	372702896.494
49	nan	nan	1	1	32.0	32.0	32.0	1.0049	-4.74291146071e-21	-1.54322082441e-18	-1.35269879547e-20	1.0	-3.15028427568e-19	1.10221816623e-21	1.94883752317e-20	1.0	798730168.877	-2274535.97509	-4180718.66306	-2263444.60411	371702096.363	-3483464.30007	-4160331.99845	-3483464.47903	381112877.046
50	nan	nan	1	1	32.0	32.0	32.0	1.005	1.39419999776e-21	1.30516692952e-20	-5.81270156199e-21	1.0	-3.41005207525e-19	3.4327995421e-22	2.98148979989e-20	1.0	813939109.612	-2207977.18416	-4242248.58358	-2196991.40407	379780132.494	-3566089.84923	-4221142.10299	-3566090.35512	389586378.322
51	nan	nan	1	1	32.0	32.0	32.0	1.0051	2.29737782909e-21	3.37164897454e-18	-4.77696803749e-21	1.0	3.62461031844e-19	-1.7002697491e-21	-2.65973722112e-20	1.0	829054072.068	-2127915.61816	-4294259.74128	-2117117.41815	387892611.838	-3652686.14217	-4272469.38238	-3652686.87124	398119344.734
52	nan	nan	1	1	32.0	32.0	32.0	1.0052	9.47715044969e-21	6.82582410444e-19	7.20422614745e-21	1.0	4.93238286688e-19	9.13207396259e-22	3.31021137531e-20	1.0	844083056.254	-2033724.20718	-4337097.26372	-2023202.27031	396035840.624	-3744274.65434	-4314660.36111	-3744275.45029	406707614.776
53	nan	nan	1	1	32.0	32.0	32.0	1.0053	8.70594670015e-22	-1.20222016638e-19	-4.52819346827e-21	1.0	-3.26629222069e-19	2.50635725604e-22	-2.71666792678e-20	1.0	859032492.645	-1925204.18883	-4371197.76145	-1915052.98432	404207099.079	-3842782.59294	-4348151.74605	-3842783.38022	415347793.181
54	nan	nan	1	1	32.0	32.0	32.0	1.0054	8.73227753926e-21	2.43275017564e-18	-3.75943248648e-21	1.0	9.57585222532e-19	3.89602068512e-22	3.40335191229e-20	1.0	873908682.09	-1801927.55555	-4397424.44391	-1792247.60744	412403400.901	-3949220.29844	-4373805.09553	-3949220.936	424036663.479
55	nan	nan	1	1	32.0	32.0	32.0	1.0055	-1.25705668337e-20	-5.72432558534e-19	2.72349216683e-22	1.0	5.39155496081e-19	7.27918939047e-23	1.74779127529e-20	1.0	888716429.248	-1664077.66541	-4416674.54259	-1654973.43474	420622735.514	-4065215.3563	-4392514.75879	-4065215.82711	432771674.413
56	nan	nan	1	1	32.0	32.0	32.0	1.0056	-3.66802902879e-21	-1.4426964597e-18	4.5236439749e-21	1.0	9.45242447021e-19	-1.10635406929e-21	9.15440783912e-21	1.0	903460364.354	-1511804.82437	-4430217.89843	-1503383.78626	428862964.002	-4191380.25698	-4405545.97024	-4191380.44295	441550377.675
57	nan	nan	1	1	32.0	32.0	32.0	1.0057	2.63833133783e-21	-5.54095205125e-20	4.40680471338e-22	1.0	-1.34199218321e-18	-1.7854693522e-21	-4.06464145299e-20	1.0	918143878.498	-1345950.11711	-4439368.73413	-1338319.77548	437122864.319	-4328776.65336	-4414206.85639	-4328776.57129	450370776.875
58	nan	nan	1	1	32.0	32.0	32.0	1.0058	1.03387495305e-20	-6.19738604176e-19	-4.13042299121e-21	1.0	4.38513671723e-19	-2.93938630671e-21	4.09578480306e-21	1.0	932770185.449	-1167345.32325	-4445769.61259	-1160611.91049	445401130.951	-4477522.3889	-4420132.17903	-4477521.94236	459230954.686
59	nan	nan	1	1	32.0	32.0	32.0	1.0059	1.04701032269e-20	2.29110914422e-18	4.62611097328e-21	1.0	-8.15609596554e-19	3.65200240442e-22	6.45821263251e-21	1.0	947341436.802	-977407.366734	-4451055.65748	-971673.039845	453697244.25	-4638164.07165	-4424947.91089	-4638163.30796	468129381.645
60	nan	nan	1	1	32.0	32.0	32.0	1.006	3.0822403985e-20	-2.96850554581e-18	-4.69549074716e-21	1.0	-6.58360907747e-19	2.00591298544e-21	5.4570345781e-20	1.0	961859593.314	-777443.490517	-4457065.0592	-772805.427191	462010550.92	-4810455.89414	-4430481.9552	-4810454.75688	477064686.61
61	nan	nan	1	1	32.0	32.0	32.0	1.0061	-6.38686830468e-21	1.17704988752e-18	1.87828935668e-20	1.0	-2.16497816287e-18	3.25743725223e-21	1.33626892055e-20	1.0	976325698.208	-569173.392902	-4465477.36846	-565721.755882	470341006.558	-4994600.65054	-4438403.07914	-4994599.224	486035906.481
62	nan	nan	1	1	32.0	32.0	32.0	1.0062	3.20839836661e-20	1.1294572238e-18	2.79949972537e-20	1.0	8.28028472681e-19	5.54293728472e-21	1.54112019925e-20	1.0	990740665.166	-354107.575963	-4477990.08622	-351925.129276	478688329.24	-5190116.5026	-4450397.96781	-5190114.76743	495042295.676
63	nan	nan	1	1	32.0	32.0	32.0	1.0063	-1.79786155175e-20	9.37968220715e-19	1.0518738862e-20	1.0	-1.17743121778e-18	7.29159709965e-21	-2.48336163501e-20	1.0	1005104667.8	-134047.427952	-4495967.25711	-133208.147721	487052691.955	-5396977.13531	-4467820.53391	-5396975.19319	504083491.734
64	nan	nan	1	1	32.0	32.0	32.0	1.0064	1.72744004729e-20	-5.7940858623e-19	-6.80542169463e-21	1.0	2.02896237321e-18	7.6704458202e-21	-4.05645236493e-20	1.0	1019417864.24	89458.3568198	-4520648.71836	88889.4165684	495433965.605	-5614525.93	-4491901.49116	-5614523.77028	513159315.754
65	nan	nan	1	1	32.0	32.0	32.0	1.0065	7.59968310374e-21	-1.81549104535e-18	-2.48272057003e-20	1.0	1.70987331601e-19	2.05967972526e-22	4.74264004207e-21	1.0	1033679821.15	314638.967025	-4552853.21181	312606.651933	503832427.789	-5842562.93068	-4523451.93104	-5842560.6418	522269872.263
66	nan	nan	1	1	32.0	32.0	32.0	1.0066	2.07702466873e-20	-2.3674091111e-18	2.97836719307e-20	1.0	1.27885183269e-18	-5.19055834377e-21	-4.88822382988e-20	1.0	1047890136.63	540006.984931	-4593247.18439	536465.954293	512248106.994	-6080290.48799	-4563132.09019	-6080288.04658	531415358.42
67	nan	nan	1	1	32.0	32.0	32.0	1.0067	2.91889807691e-20	-2.56164600818e-19	1.72359624238e-20	1.0	3.29126149466e-18	-4.66198993235e-21	1.90226725469e-20	1.0	1062047856.52	763935.047295	-4642102.85572	758850.197842	520681510.132	-6327354.13858	-4611209.56454	-6327351.60671	540596137.197
68	nan	nan	1	1	32.0	32.0	32.0	1.0068	-7.31133957443e-21	1.05540470664e-18	4.89442768448e-21	1.0	-2.22826492436e-18	-2.94062707763e-21	2.48873830899e-20	1.0	1076151999.71	985136.156167	-4699595.09415	978482.058059	529133041.469	-6582818.06379	-4667855.91661	-6582815.40595	549812578.287
69	nan	nan	1	1	32.0	32.0	32.0	1.0069	2.79676227453e-21	-6.39056580201e-19	-7.34019396064e-21	1.0	-1.08529487807e-18	-4.25336270975e-21	1.00006136058e-20	1.0	1090200984.12	1202284.67224	-4765588.7118	1194045.24455	537603702.65	-6846152.85157	-4732933.93681	-6846150.11268	559065133.067
70	nan	nan	1	1	32.0	32.0	32.0	1.007	-6.44403747099e-21	-3.09137578118e-18	1.48315551782e-20	1.0	5.60905383108e-19	-4.39811931694e-21	-2.24174217808e-20	1.0	1104193097.37	1414444.73903	-4839922.76158	1404612.15355	546094540.997	-7116259.37503	-4806281.65569	-7116256.51668	568354214.192
71	nan	nan	1	1	32.0	32.0	32.0	1.0071	1.28258279853e-20	1.52740885341e-18	9.79050973018e-21	1.0	-3.20736470103e-18	-1.92898518847e-21	8.97466149202e-20	1.0	1118125958.72	1620703.94634	-4922211.31173	1609277.75406	554607274.249	-7392412.7076	-4887513.0089	-7392409.77147	577680294.828
72	nan	nan	1	1	32.0	32.0	32.0	1.0072	-1.71802828288e-21	2.43466882107e-18	-1.64172604125e-20	1.0	-1.71960509592e-18	-1.61631091693e-21	1.80970574414e-20	1.0	1131996987.67	1820529.99628	-5012095.07764	1807515.8426	563143728.382	-7673351.83044	-4976269.30546	-7673348.77412	587043816.717
73	nan	nan	1	1	32.0	32.0	32.0	1.0073	-4.00037533551e-20	-2.23708101533e-18	-1.38434879365e-20	1.0	6.68694461549e-19	-2.97288712152e-21	-6.59221589174e-20	1.0	1145802927.2	2013402.45336	-5109054.04329	1998811.15062	571706364.019	-7958193.59989	-5072031.67502	-7958190.46798	596445315.256
