# All lines starting with '#' are comments and should come before the data.
# DREAM.3D StatsGenerator ODF Angles Input File
# DREAM.3D Version 6.5.141.ec284b7a5
# Angle Data is Space delimited.
# Euler angles are expressed in radians
# Euler0 Euler1 Euler2 Weight Sigma
Angle Count:73409
3.02595 0.780488 3.76495 1 1
3.02595 0.780488 3.76495 1 1
3.02595 0.780488 3.76495 1 1
3.02595 0.780488 3.76495 1 1
3.02595 0.780488 3.76495 1 1
5.01799 0.534463 0.893138 1 1
5.01799 0.534463 0.893138 1 1
5.01799 0.534463 0.893138 1 1
5.01799 0.534463 0.893138 1 1
5.01799 0.534463 0.893138 1 1
5.01799 0.534463 0.893138 1 1
5.01799 0.534463 0.893138 1 1
5.01799 0.534463 0.893138 1 1
5.01799 0.534463 0.893138 1 1
5.01799 0.534463 0.893138 1 1
5.01799 0.534463 0.893138 1 1
5.01799 0.534463 0.893138 1 1
5.01799 0.534463 0.893138 1 1
5.01799 0.534463 0.893138 1 1
5.01799 0.534463 0.893138 1 1
4.57281 0.59656 1.42518 1 1
4.57281 0.59656 1.42518 1 1
4.57281 0.59656 1.42518 1 1
4.57281 0.59656 1.42518 1 1
4.57281 0.59656 1.42518 1 1
4.57281 0.59656 1.42518 1 1
4.54029 0.76722 1.58716 1 1
4.54029 0.76722 1.58716 1 1
4.54029 0.76722 1.58716 1 1
4.54029 0.76722 1.58716 1 1
4.54029 0.76722 1.58716 1 1
4.54029 0.76722 1.58716 1 1
4.54029 0.76722 1.58716 1 1
4.54029 0.76722 1.58716 1 1
4.54029 0.76722 1.58716 1 1
4.54029 0.76722 1.58716 1 1
4.54029 0.76722 1.58716 1 1
4.54029 0.76722 1.58716 1 1
4.54029 0.76722 1.58716 1 1
4.54029 0.76722 1.58716 1 1
4.54029 0.76722 1.58716 1 1
4.54029 0.76722 1.58716 1 1
5.63613 0.706124 0.842388 1 1
5.63613 0.706124 0.842388 1 1
5.63613 0.706124 0.842388 1 1
5.63613 0.706124 0.842388 1 1
5.63613 0.706124 0.842388 1 1
5.63613 0.706124 0.842388 1 1
