51
Feature_ID,AspectRatios_0,AspectRatios_1,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EquivalentDiameters,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumElements,NumNeighbors,Omega3s,Phases,SurfaceFeatures,Volumes
35,0.93470263,0.88000554,3.0239706,0.34198862,2.9235857,7.5230222,7.0317883,6.6203012,16.487301,26.356329,26.951534,13.912965,2.563231,0.92489284,3.8886688,11281,12,0.82066447,1,1,1410.125
36,0.75738776,0.5280326,3.1632993,1.5776912,5.1151481,4.4927554,3.4027581,2.3723214,22.478086,30.384169,11.970483,6.4384956,1.4384974,1.0374929,2.81113,1118,8,0.65876269,1,1,139.75
37,0.90091538,0.87774199,3.6230276,1.9344354,5.0055461,6.116725,5.5106521,5.3689065,15.224051,27.774223,16.509655,11.145848,4.6831536,1.1677353,3.144495,5800,12,0.80021751,1,1,725
38,0.83649802,0.74799657,2.6601048,1.7938403,5.8580756,4.8811555,4.083077,3.6510875,23.608183,18.97258,20.484575,8.228817,5.5981646,1.8879163,5.4181237,2334,10,0.80343199,1,0,291.75
39,0.94377929,0.58299255,1.3800859,1.6255828,0.81340265,4.2441421,4.0055332,2.474303,30.26029,19.153582,19.808308,6.7912297,4.1395221,2.2110925,2.9309802,1312,6,0.69865149,1,1,164
40,0.94703144,0.704252,5.9981685,0.38398671,5.0750222,7.166254,6.7866678,5.0468488,12.093091,14.685293,28.102299,12.341529,3.1073992,2.5721734,5.8685598,7874,13,0.80396795,1,1,984.25
41,0.78335381,0.58659852,2.9211862,0.29642275,2.8753111,12.206079,9.5616789,7.1600676,10.276906,18.274935,5.4044228,18.58083,2.8004897,0.7796213,1.0540611,26871,20,0.81355864,1,1,3358.875
42,0.69269741,0.60557514,2.8557594,1.3645362,6.2129798,10.611752,7.3507328,6.4262123,19.229445,5.010674,5.5408907,15.561849,5.5276928,0.96685755,3.3283026,15786,10,0.73299956,1,1,1973.25
43,0.85201758,0.7787385,2.4368057,0.9170779,3.4968033,7.4624796,6.3581638,5.8113203,5.1180682,5.1173296,4.7271023,12.80751,4.6613555,1.9937401,1.6209618,8800,6,0.7835595,1,1,1100
44,0.91357082,0.8573184,3.0371847,1.4583236,4.2158961,4.2909331,3.9200711,3.6786959,11.062057,21.349798,16.466059,7.7819099,0.18605688,2.2140651,3.9559948,1974,9,0.78188854,1,0,246.75
45,0.88540137,0.70910239,2.6914637,1.131114,0.22150719,5.2586269,4.6559954,3.728905,14.691126,14.4316,18.275232,8.8596649,5.865572,2.2326243,0.62083852,2913,15,0.78248912,1,0,364.125
46,0.98321903,0.9190948,2.6998222,1.8090359,5.6542869,6.2992048,6.1934981,5.7895665,27.39547,10.972084,20.080978,11.988811,5.564764,1.2636062,6.063972,7218,12,0.78859252,1,1,902.25
47,0.95844388,0.77795941,1.4052199,1.3321264,0.4100621,7.65205,7.3340602,5.9529843,4.7697673,25.907814,25.924046,13.691152,4.2427945,2.2434473,4.8479757,10750,10,0.8163271,1,1,1343.75
48,0.88825148,0.68404865,3.1468453,1.7220204,5.2939959,5.2179799,4.6348782,3.5693521,4.3387127,9.5262356,24.698973,8.715395,1.1075126,1.3770378,1.0733598,2773,6,0.80947948,1,1,346.625
49,0.8824693,0.77697563,0.74929523,1.4457443,4.752955,7.8391495,6.9178085,6.0908279,5.1429009,27.25284,13.67797,13.612159,4.3338985,2.0014315,0.047035865,10565,8,0.79229242,1,1,1320.625
50,0.94791055,0.81980634,4.4916472,0.90075886,3.9766157,5.0994129,4.8337874,4.1805315,18.031824,20.097578,15.052136,9.2572203,2.9378943,0.082375802,0.95964366,3323,14,0.82520634,1,0,415.375
51,0.75109178,0.50023443,1.808911,1.3316733,5.1399374,7.9416661,5.96492,3.9726946,29.131622,5.6751618,8.8139095,11.093719,2.8517683,0.58007818,1.9173988,5719,6,0.61333853,1,1,714.875
