51
Feature_ID,AspectRatios_0,AspectRatios_1,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EquivalentDiameters,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumElements,NumNeighbors,Omega3s,Phases,SurfaceFeatures,Volumes
30,0.9162851,0.7965855,-0.80660689,-0.072807871,0.41046146,0.41905329,5.5704989,0.50577402,5.7165904,4.6354218,4.2473679,3.6925097,21.001165,25.231787,10.127382,8.2604265,5.9353085,0.87670267,4.7014542,2361,9,0.85493523,1,0,295.125
31,0.75554198,0.4642123,0.42949989,0.38152197,0.25069332,0.77918142,5.9237008,0.27818659,6.0470142,3.9980509,3.0206954,1.8559444,28.6984,21.808867,1.306686,5.4764605,3.5566225,1.2239416,2.1040032,688,4,0.64483434,1,1,86
32,0.92231226,0.71926123,-0.61443502,0.52869892,-0.58554816,0.0089688664,2.9826748,1.5790435,4.9367199,8.5267591,7.8643346,6.1329675,11.638249,4.4990087,17.618996,14.62903,0.84494299,1.890311,2.2660179,13114,17,0.78018886,1,1,1639.25
33,0.90441418,0.75889969,-0.80660689,-0.072807871,0.41046146,0.41905329,3.3529031,2.1903272,5.0654612,3.801816,3.4384162,2.8851969,18.574875,11.852745,10.408485,6.5958681,5.4551129,0.28187862,3.3622975,1202,9,0.77804452,1,0,150.25
34,0.8040126,0.48660523,-0.30911508,-0.56267047,-0.048917953,0.76515156,3.0932472,1.5261567,3.9539373,6.8395939,5.4991198,3.3281822,13.899375,29.615499,5.9996252,9.8474503,1.1322812,1.3941798,5.278595,4000,8,0.7884137,1,1,500
35,0.92874819,0.87558609,0.35170126,-0.27449253,-0.075407043,0.89178127,3.3203602,0.24854502,1.9911973,7.5465517,7.0088463,6.607656,15.995091,26.149302,26.763931,13.923235,2.563231,0.92489284,3.8886688,11306,13,0.838377,1,1,1413.25
36,0.91033876,0.50289595,0.38353744,-0.31417927,0.73853797,0.45689392,3.1157546,1.54003,5.2961435,4.3637514,3.9724917,2.1945126,22.372044,30.494932,11.483953,6.562778,1.4384974,1.0374929,2.81113,1184,8,0.6911307,1,1,148
37,0.88719732,0.82890427,0.39600912,0.38348252,-0.58214658,0.59768164,3.279223,1.7609928,5.3025236,6.2740459,5.5663171,5.2005835,15.034097,27.796398,16.305593,11.192415,4.6831536,1.1677353,3.144495,5873,12,0.83669734,1,1,734.125
38,0.91275376,0.74466884,-0.57229817,0.14589034,0.36461157,0.71989524,2.4221611,1.9799333,5.8966627,4.9350309,4.504468,3.6749637,23.392994,18.724991,20.699598,8.5509748,5.5981646,1.8879163,5.4181237,2619,10,0.80140573,1,0,327.375
39,0.73604053,0.63418126,0.73544824,0.50777191,-0.1720871,0.41433027,1.6193483,1.368735,0.66283381,4.0364671,2.9710033,2.5598516,30.187761,19.02615,19.578976,6.1111522,4.1395221,2.2110925,2.9309802,956,5,0.69310635,1,1,119.5
40,0.89479709,0.73834854,0.18145965,-0.94243276,-0.27383596,0.06250418,5.7133527,0.221172,5.4284587,7.1366167,6.3858237,5.2693105,11.559117,14.494619,28.223196,12.232418,3.1073992,2.5721734,5.8685598,7667,13,0.78508914,1,1,958.375
41,0.89448547,0.59099078,0.24410777,0.29124129,0.86682874,0.32279697,5.9146156,0.084279284,5.6241274,11.873467,10.620645,7.0171094,10.329922,18.076218,5.0268312,18.928774,2.8004897,0.7796213,1.0540611,28409,18,0.80714858,1,1,3551.125
42,0.72098184,0.58746088,0.21096584,0.41418469,-0.84984189,0.24842142,3.1164362,1.3863369,0.01067978,10.370764,7.4771318,6.0924182,19.093634,4.461514,5.5195541,15.254492,5.5276928,0.96685755,3.3283026,14869,10,0.73086715,1,1,1858.625
43,0.89618945,0.83555502,0.042474028,0.83870089,0.00023567263,0.54293334,2.6850276,1.8763783,5.7068605,6.2410469,5.5931602,5.2147379,4.814467,4.201097,4.6191955,11.196225,4.6613555,1.9937401,1.6209618,5879,6,0.83155012,1,1,734.875
44,0.93898714,0.86719596,-0.65959972,-0.6778056,-0.15743656,0.28411505,2.844506,2.2380326,5.8218417,4.2917833,4.0299296,3.7218175,10.842566,21.065111,16.445335,7.8907619,0.18605688,2.2140651,3.9559948,2058,8,0.7904644,1,0,257.25
45,0.74289197,0.69169021,-0.65959972,-0.6778056,-0.15743656,0.28411505,3.146873,1.738896,0.58650988,5.8113036,4.3171706,4.0196214,14.512348,14.083178,18.138008,9.1596203,5.865572,2.2326243,0.62083852,3219,15,0.78419179,1,0,402.375
46,0.93935663,0.86337811,-0.57229817,0.14589034,0.36461157,0.71989524,4.571815,0.73223686,4.4977865,6.6300774,6.2280068,5.7242637,27.270128,10.447351,20.16988,12.210574,5.564764,1.2636062,6.063972,7626,12,0.82728386,1,1,953.25
47,0.93236798,0.73793185,0.85992241,-0.268448,-0.42809039,0.072164796,1.5100615,1.6711646,5.7337379,7.7146292,7.192873,5.6928706,4.3517919,25.640383,26.004677,13.435068,4.2427945,2.2434473,4.8479757,10158,9,0.81358743,1,1,1269.75
48,0.70475316,0.65363747,-0.63530153,-0.010849699,-0.68479836,0.35682693,3.5188761,1.355294,0.26956299,5.301754,3.7364278,3.465425,4.768157,9.3979797,24.530754,8.0718918,1.1075126,1.3770378,1.0733598,2203,6,0.80540836,1,1,275.375
49,0.78324598,0.69118333,-0.45615935,0.70756108,0.43935335,0.31344002,3.8197899,1.5390948,4.5378957,8.608161,6.7423077,5.9498172,5.0643077,27.438057,13.491859,13.793963,4.3338985,2.0014315,0.047035865,10994,10,0.77405679,1,1,1374.25
50,0.86798495,0.79703176,-0.80660689,-0.072807871,0.41046146,0.41905329,1.4655391,1.6190542,5.6540589,5.3124681,4.6111422,4.2342057,17.858709,19.920296,14.762824,9.2849951,2.9378943,0.082375802,0.95964366,3353,14,0.83539313,1,0,419.125
51,0.74209684,0.46308559,0.25534293,0.12880245,0.65806681,0.69653285,1.6712794,1.5379629,4.5365939,8.221343,6.1010323,3.8071852,29.46623,5.3593135,9.3237028,11.17205,2.8517683,0.58007818,1.9173988,5841,6,0.63356721,1,1,730.125
