2	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p
42	nan	nan	1	1	32.0	32.0	32.0	1.0084	-3.2957357146e-20	-9.32018310569e-19	-6.68361934943e-21	1.0	-1.70367690605e-18	-3.27149932265e-21	7.8030428724e-20	1.0	1276988331.56	7903789.17937	7854236.3996	7837946.00262	689415603.93	-14193999.0353	7788828.1852	-14193992.4935	696274285.079
43	nan	nan	1	1	32.0	32.0	32.0	1.0086	1.54194737986e-20	9.23905323121e-19	-1.09601431163e-21	1.0	6.37002359868e-18	4.0049603718e-20	1.96616695701e-20	1.0	1302512652.78	8235678.61503	8192722.55403	8165455.96994	708163654.938	-14875486.1207	8122883.28779	-14875483.2452	715478905.002
44	nan	nan	1	1	32.0	32.0	32.0	1.0088	1.12720729253e-19	3.50110811708e-19	-4.97135548144e-22	1.0	4.22642391874e-18	5.96744637508e-20	8.30075744697e-22	1.0	1327817901.83	8571119.74818	8538232.45665	8496348.87453	727031259.746	-15541007.9456	8463769.50501	-15541004.0043	734776303.915
45	nan	nan	1	1	32.0	32.0	32.0	1.009	-9.14448167177e-21	-2.0810706159e-19	1.86661577029e-20	1.0	4.25383585706e-18	1.92385666868e-20	-7.97526187593e-21	1.0	1352914136.37	8909963.20129	8888159.62286	8830490.16188	746011149.97	-16187424.6312	8808896.54954	-16187424.7125	754164434.132
46	nan	nan	1	1	32.0	32.0	32.0	1.0092	8.19802161489e-20	2.79469587396e-19	-8.06831969484e-21	1.0	-8.00630182842e-18	-3.89122303757e-20	9.79592776319e-20	1.0	1377816739.91	9251943.01413	9239376.95702	9167598.53655	765094558.82	-16815036.2023	9155167.2757	-16815035.871	773636795.283
47	nan	nan	1	1	32.0	32.0	32.0	1.0094	-4.54072525455e-20	-1.69389384094e-18	-2.18491487e-20	1.0	-4.66050018007e-18	-3.86649033726e-20	9.60687563419e-20	1.0	1402536116.57	9596053.20997	9589171.95259	9506691.46525	784274946.945	-17421854.4364	9499889.79183	-17421858.5318	793190325.488
48	nan	nan	1	1	32.0	32.0	32.0	1.0096	-1.17806235659e-19	1.82343694231e-20	-3.31567076736e-20	1.0	-2.45824346853e-18	-8.04954269494e-20	1.4276227474e-19	1.0	1427085714.35	9941228.92479	9934568.4791	9846697.37206	803545464.616	-18008903.1159	9840121.68676	-18008907.5145	812818566.626
49	nan	nan	1	1	32.0	32.0	32.0	1.0098	1.03495183881e-19	4.65050866545e-19	-4.1898352387e-20	1.0	4.18568444639e-18	1.29106350007e-20	-1.20874248551e-19	1.0	1451473820.02	10285965.1559	10273105.9525	10186140.895	822901609.761	-18575247.6409	10173424.1306	-18575256.6994	832518382.88
50	nan	nan	1	1	32.0	32.0	32.0	1.01	2.17662652026e-19	-2.12749199187e-18	-4.69259561501e-20	1.0	-2.5815231583e-19	-1.23431891005e-20	5.48586182245e-21	1.0	1475710951.83	10628915.2766	10602343.377	10523673.7735	842338758.26	-19122542.1186	10497389.3051	-19122551.9153	852283936.614
51	nan	nan	1	1	32.0	32.0	32.0	1.0102	-4.06162224376e-20	5.02975443269e-19	-5.02851366177e-20	1.0	8.08201780579e-18	-3.79262310856e-21	-1.19355544947e-19	1.0	1499803333.05	10968633.1327	10920484.1208	10857880.7165	861854051.593	-19650689.1383	10810238.8899	-19650703.4107	872112353.599
52	nan	nan	1	1	32.0	32.0	32.0	1.0104	-1.71962577544e-19	2.00338181277e-18	-1.60853541917e-20	1.0	1.44141838294e-17	2.20245109898e-20	-2.57302801341e-20	1.0	1523759420.55	11304033.5454	11225961.9899	11187674.7284	881444220.532	-20161695.2898	11110434.7218	-20161710.1047	891998459.784
53	nan	nan	1	1	32.0	32.0	32.0	1.0106	-3.46026193843e-20	4.45163790258e-19	-2.94104066793e-20	1.0	8.17408631669e-18	3.83745629776e-20	4.02348921752e-20	1.0	1547584436.56	11634133.9061	11517890.8603	11512100.9042	901107065.732	-20655856.7435	11397101.7385	-20655875.2186	911939654.46
54	nan	nan	1	1	32.0	32.0	32.0	1.0108	-8.59622636177e-20	-5.88194898697e-19	-2.85211875208e-20	1.0	1.33759828251e-17	1.62276292571e-20	-5.95156450732e-20	1.0	1571285926.84	11958345.1226	11795665.4225	11830565.0739	920839723.416	-21135133.9535	11669654.8716	-21135152.2206	931931301.646
55	nan	nan	1	1	32.0	32.0	32.0	1.011	-7.4661322089e-20	9.99609719962e-19	-1.79059787199e-20	1.0	7.50323953118e-18	2.93930358865e-20	2.17207702689e-19	1.0	1594868921.08	12276176.0066	12059258.8549	12142599.3899	940639957.681	-21599842.0892	11928069.9719	-21599862.9655	951971032.042
56	nan	nan	1	1	32.0	32.0	32.0	1.0112	6.29947667296e-20	2.46872219253e-18	-2.01344032902e-20	1.0	1.08540969074e-17	5.11032182435e-21	-2.36896255629e-20	1.0	1618340617.96	12587422.6752	12308840.1269	12447991.9666	960504837.284	-22051682.5187	12172528.6253	-22051702.4804	972054688.943
57	nan	nan	1	1	32.0	32.0	32.0	1.0114	1.79382387638e-20	-8.25321110536e-19	-1.76685778841e-20	1.0	-8.13502353944e-19	-1.7858829425e-20	6.98289329505e-20	1.0	1641706047.3	12891883.7776	12544978.3389	12746561.5802	980431908.989	-22490872.0428	12403595.7046	-22490893.8155	992180135.953
58	nan	nan	1	1	32.0	32.0	32.0	1.0116	-1.55910310576e-19	6.61986026781e-19	-2.64995581037e-20	1.0	5.21921188019e-18	-2.48832471868e-20	2.01716264177e-20	1.0	1664972074.57	13189527.474	12768306.2528	13038267.3549	1000418169.75	-22918835.2588	12621910.9262	-22918855.7377	1012343673.9
59	nan	nan	1	1	32.0	32.0	32.0	1.0118	-2.95402740355e-20	5.03944898947e-19	-2.84392966402e-20	1.0	-5.59457486164e-18	1.08311029408e-20	-6.2505075807e-20	1.0	1688143572.42	13480250.8927	12979682.8268	13323024.8496	1020461080.43	-23335705.6098	12828324.7049	-23335727.4532	1032543408.22
60	nan	nan	1	1	32.0	32.0	32.0	1.012	-1.30970815108e-19	2.74050892639e-18	-8.36279599291e-22	1.0	-1.41357672429e-17	1.94867208705e-20	6.30311626765e-20	1.0	1711226900.56	13764057.5781	13179921.2027	13600828.97	1040557713.95	-23742681.4614	13023653.7951	-23742701.957	1052776096.88
61	nan	nan	1	1	32.0	32.0	32.0	1.0122	-3.91893358809e-20	-8.56343692229e-19	7.22624983126e-21	1.0	2.28916609696e-18	3.14427894444e-20	-1.67320439946e-19	1.0	1734226565.38	14040854.4741	13369935.8196	13871604.1995	1060705612.41	-24139844.3271	13208802.1725	-24139866.0366	1073040109.98
62	nan	nan	1	1	32.0	32.0	32.0	1.0124	-9.03115792785e-21	1.43408964543e-18	1.58140389508e-20	1.0	-2.90169664928e-18	2.36871440211e-20	1.30409986653e-19	1.0	1757148264.4	14310633.732	13550530.7214	14135335.0186	1080902070.14	-24528206.9939	13384576.1175	-24528227.5153	1093332650.29
63	nan	nan	1	1	32.0	32.0	32.0	1.0126	-1.94979705269e-19	-4.21132869974e-18	2.00243882687e-20	1.0	-2.49032815013e-18	-8.36643558761e-20	-1.6700114823e-19	1.0	1779995999.75	14573293.1867	13722536.4188	14391936.1577	1101144842.13	-24907819.3323	13551795.5152	-24907841.0507	1113652344.23
64	nan	nan	1	1	32.0	32.0	32.0	1.0128	-1.33860156988e-19	-8.03602656373e-19	-3.81661134632e-21	1.0	-7.63647020372e-18	6.64126770207e-20	8.4384003009e-20	1.0	1802774739.16	14828816.4642	13886648.6705	14641384.5861	1121431536.34	-25279550.4643	13711158.2199	-25279571.1783	1133996798.65
65	nan	nan	1	1	32.0	32.0	32.0	1.013	5.78914759404e-20	-2.05532213779e-18	-2.90042609986e-20	1.0	1.30232639129e-18	-4.13954265746e-20	-9.03843711724e-20	1.0	1825487936.8	15077107.5263	14043553.7255	14883600.3874	1141760173.75	-25643435.2529	13863340.6143	-25643457.0846	1154364878.66
66	nan	nan	1	1	32.0	32.0	32.0	1.0132	-1.1704460911e-19	-1.59082382789e-18	-4.40539850633e-20	1.0	3.87787234249e-19	-5.93584807568e-21	2.40669853584e-19	1.0	1848139835.84	15318159.4401	14193804.7857	15118570.7725	1162128677.8	-26000216.1593	14008898.4718	-26000237.0547	1174754578.2
67	nan	nan	1	1	32.0	32.0	32.0	1.0134	3.45802855078e-21	2.25781595174e-18	-2.94112338599e-20	1.0	2.12877048223e-17	-7.66961863959e-21	3.46654851109e-20	1.0	1870733353.46	15551897.4816	14337932.1095	15346236.141	1182535300.88	-26349900.2843	14148353.4398	-26349922.1207	1195165019.82
68	nan	nan	1	1	32.0	32.0	32.0	1.0136	-1.23828110519e-19	-5.4845714207e-19	-2.24033597104e-20	1.0	7.17455600606e-18	9.54649144947e-20	-2.93920432697e-19	1.0	1893272055.19	15778336.5732	14476347.9992	15566606.0694	1202978230.2	-26693104.6868	14282121.1775	-26693125.5945	1215594583.44
69	nan	nan	1	1	32.0	32.0	32.0	1.0138	1.73651266764e-19	7.87019339452e-19	-1.29867356171e-21	1.0	6.64197245995e-18	6.51189665426e-20	-3.93043139861e-20	1.0	1915758356.02	15997431.2621	14609440.6322	15779649.1127	1223455925.29	-27029805.8405	14410582.6996	-27029827.5135	1236042638.12
70	nan	nan	1	1	32.0	32.0	32.0	1.014	1.13921795503e-19	9.95197538575e-19	-1.72533332166e-20	1.0	-4.16379493128e-17	2.91002139496e-20	1.06484614615e-19	1.0	1938195216.84	16209220.8933	14737497.1562	15985399.6224	1243966821.98	-27360521.711	14534029.4216	-27360542.479	1256507891.09
71	nan	nan	1	1	32.0	32.0	32.0	1.0142	1.1769870218e-19	1.07159263123e-18	-3.81330262387e-21	1.0	-7.08979315433e-18	-1.24077091883e-20	-6.38914305136e-21	1.0	1960584610.07	16413687.4603	14860782.4072	16183852.6092	1264509585.9	-27685222.8741	14652720.4754	-27685244.2879	1276989904.15
72	nan	nan	1	1	32.0	32.0	32.0	1.0144	1.3443008443e-19	8.00647967225e-19	2.70703127264e-20	1.0	4.33680372686e-18	4.29306737915e-20	-5.14274730436e-20	1.0	1982928988.35	16610896.4418	14979475.2792	16375068.7965	1285082875.66	-28004371.9247	14766839.9079	-28004392.4954	1297487644.67
73	nan	nan	1	1	32.0	32.0	32.0	1.0146	1.23936471179e-20	9.42066073469e-19	6.36350045237e-20	1.0	1.94605521847e-17	8.67877898691e-20	1.13753877838e-20	1.0	2005229962.37	16800865.2642	15093737.0724	16559077.5549	1305685532.63	-28317962.5323	14876544.6455	-28317983.6714	1318000824.08
74	nan	nan	1	1	32.0	32.0	32.0	1.0148	-4.77605813882e-20	3.26457085784e-18	-1.58074215059e-20	1.0	2.6355463241e-19	6.10823251534e-20	-2.50678738995e-19	1.0	2027489579.13	16983697.8325	15203660.0893	16735977.9052	1326316391.3	-28626430.2194	14981932.9081	-28626450.5785	1338528619.75
75	nan	nan	1	1	32.0	32.0	32.0	1.015	1.13025958899e-20	-3.99574557977e-19	-6.34282093706e-20	1.0	-3.30223569985e-18	6.53075637223e-20	1.69859884427e-19	1.0	2049709169.64	17159457.3793	15309328.1804	16905843.7551	1346974423.77	-28929795.3671	15083085.2827	-28929816.2251	1359070863.8
76	nan	nan	1	1	32.0	32.0	32.0	1.0152	-4.63998692805e-20	2.72461382374e-18	-4.13639937113e-20	1.0	-1.09314829625e-17	6.85137157765e-20	7.99387343971e-20	1.0	2071890466.55	17328291.912	15410774.049	17068817.8516	1367658589.87	-29228468.0156	15180040.9624	-29228488.1513	1379626908.21
77	nan	nan	1	1	32.0	32.0	32.0	1.0154	-1.24060548271e-20	-2.42787435952e-18	-1.44094862707e-21	1.0	-7.13307620707e-19	6.96883122464e-20	-1.13105368238e-19	1.0	2094034592.14	17490310.5278	15508031.6684	17225018.6748	1388367950.04	-29522480.2812	15272831.4808	-29522500.8605	1400196684.19
78	nan	nan	1	1	32.0	32.0	32.0	1.0156	9.55393607499e-20	-1.61302866426e-18	3.53586624642e-20	1.0	4.50737333225e-18	2.01732807789e-20	-1.77185395931e-19	1.0	2116143037.67	17645699.0145	15601100.2757	17374626.3586	1409101554.4	-29812205.4868	15361462.8899	-29812225.4015	1420779685.07
79	nan	nan	1	1	32.0	32.0	32.0	1.0158	4.39183274429e-20	-1.65888755742e-18	7.93249663826e-20	1.0	1.70473850964e-17	-9.93642439023e-20	-1.8211208366e-20	1.0	2138216771.91	17794600.5108	15689990.2773	17517792.2952	1429858530.56	-30097668.8954	15445943.6421	-30097689.2008	1441375912.73
80	nan	nan	1	1	32.0	32.0	32.0	1.016	9.18153936322e-20	-4.34461727492e-19	4.32764352875e-20	1.0	-3.56501112812e-17	-1.53372520457e-19	-8.36577384312e-20	1.0	2160257101.21	17937223.5177	15774691.6486	17654719.0787	1450638004.28	-30379197.998	15526270.5446	-30379217.6816	1461984963.96
81	nan	nan	1	1	32.0	32.0	32.0	1.0162	1.65187968327e-20	4.63340257038e-19	-6.75326795701e-20	1.0	-1.79762857633e-17	-1.0649123206e-19	-2.52925361539e-19	1.0	2182264880.96	18073731.5586	15855211.9648	17785577.5689	1471439163.06	-30656802.8801	15602449.3819	-30656822.8887	1482606883.01
82	nan	nan	1	1	32.0	32.0	32.0	1.0164	-3.5754054797e-20	3.89388325042e-18	-8.4435288207e-20	1.0	-1.05602277599e-17	2.46433648092e-20	5.83261593523e-20	1.0	2204241273.78	18204345.3501	15931545.4797	17910582.4092	1492261199.07	-30930770.1887	15674481.0459	-30930789.5912	1503241340.73
83	nan	nan	1	1	32.0	32.0	32.0	1.0166	2.85708183576e-20	-3.7706995136e-18	-7.22409916167e-20	1.0	-3.15637133238e-17	-7.5491811424e-20	1.82972351497e-20	1.0	2226187045.63	18329241.993	16003703.9006	18029917.2283	1513103355.93	-31201102.6434	15742375.4952	-31201122.2826	1523888406.0
